artifact_edge_id	loop_ref	artifact_object_id	artifact_role	artifact_category	coverage_resolution	coverage_evidence_kind	coverage_evidence_locator	review_mode	parent_metadata_digest	discovery_manifest_digest
artifact-edge-212215664838232	loop-268754489968765	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:d0795402:c28c2b24:135eaf31:93146493:d98d6014:4dedf7e1:2a2435ed:36deaa69	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212216050648284	loop-228394195708341	artifact-object-080115598621899	category_coverage	media	discovered	reviewed_static_source	source-000000000000003	independent_review_approved	sha256:e18d0571:5f9f3c9f:e828d2e5:a91f80a2:bbd4f986:b2d5366b:8bade1fe:5c6dc5ce	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212265157397690	loop-206899654792180	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:3ea1a808:8a582370:78f979c2:f801a2fc:2946a5a6:11c233f6:156e11ed:18ce9b4a	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212603252922502	loop-146201348977334	artifact-object-124475548163238	category_coverage	state	unverified	unverified	unverified	independent_review_approved	sha256:76daaac3:8dd2a719:1eaa0e4e:da4a1aaa:3ac6016f:8f7cbe7b:2d189762:ae3b9e1d	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212714122529974	loop-177330442288929	artifact-object-214938912290337	category_coverage	media	unverified	unverified	unverified	independent_review_approved	sha256:6f109cd7:c0f59bf3:a2e0c4c3:4f8e0361:69029380:b1523534:789e0621:6e2712f8	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212726021757964	loop-068957167622554	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:f0a0edb4:a6f03c53:6bc1951e:67b703e5:70761426:555bd645:53b9621d:21ec99a1	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212819268537910	loop-260140309999319	artifact-object-135384827864504	category_coverage	cache	unverified	unverified	unverified	independent_review_approved	sha256:b55ed226:edf61a21:3e72f17f:8c56672e:ca618904:7bc5cd44:f827245a:2cb32b31	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212889249357464	loop-038406560627694	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:41be6a83:bee0077b:91c3ddb3:d761f7e0:423401c3:0bdadb0a:4bd8c6ef:464116d6	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212902081396504	loop-058885044165719	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:e92afc5d:7b47802d:43011db6:1cbfb713:ba039c9e:5d172447:0ae6a6ff:4ea3d72c	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-212939968693586	loop-209028714115090	artifact-object-100726454068850	category_coverage	transcript	unverified	unverified	unverified	independent_review_approved	sha256:31c32b31:477107a6:299e42fc:50da19fb:5353ce6c:7bde3717:bd8cdedd:4ad6b21b	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213090262370570	loop-144354923110496	artifact-object-192414584785618	category_coverage	output	unverified	unverified	unverified	independent_review_approved	sha256:059d56a8:afbe7fee:d1b05c29:9bd6b638:8023f63d:e7998364:c9cbfad0:b92dfd01	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213217770163360	loop-051812349890866	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:c49d3f99:97931ee6:361228c0:8a47145d:2d408d98:4ec1ff88:1b86a146:586b52bc	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
artifact-edge-213271732855341	loop-105685377608625	artifact-object-185297123843262	category_coverage	log	unverified	unverified	unverified	independent_review_approved	sha256:4035bdd3:13b10131:d56980ff:124fa644:ce8894be:2356168b:0f446a3e:9d99e32b	sha256:1e520594:51e34636:06f190a0:b666eb95:22bc4d3e:742c8ed1:07ec3491:e585bbab
